i getaccept E*A dH rho ddH Q
105 1 4.735549919770261e-01 9.463646293816907e-05 1.000000000000000e+00 NA -0.000000000000000e+00
106 1 4.838460674509948e-01 -1.765840175131927e-04 1.000000000000000e+00 NA -0.000000000000000e+00
107 1 4.884568647143542e-01 -6.837719331809211e-05 1.000000000000000e+00 NA -0.000000000000000e+00
108 1 4.866799167866458e-01 -1.305137256490951e-05 1.000000000000000e+00 NA -0.000000000000000e+00
109 1 4.793764745176391e-01 5.293998934075006e-05 1.000000000000000e+00 NA -0.000000000000000e+00
110 1 4.773257513909245e-01 9.703513753311910e-05 1.000000000000000e+00 NA -0.000000000000000e+00
111 1 4.782289536225229e-01 -5.223088220596139e-06 1.000000000000000e+00 NA -0.000000000000000e+00
112 1 4.733762596343141e-01 5.366480224910930e-05 1.000000000000000e+00 NA -0.000000000000000e+00
113 1 4.725580814434532e-01 -8.592242151550522e-06 1.000000000000000e+00 NA -0.000000000000000e+00
114 1 4.755628081726764e-01 5.603463205972048e-05 1.000000000000000e+00 NA -0.000000000000000e+00
115 1 4.748730017369845e-01 7.239839105022128e-05 1.000000000000000e+00 NA -0.000000000000000e+00
116 1 4.741342532415271e-01 6.530260463932791e-06 1.000000000000000e+00 NA -0.000000000000000e+00
117 1 4.736971279914437e-01 -1.783216124007225e-05 1.000000000000000e+00 NA -0.000000000000000e+00
118 1 4.700554457451740e-01 2.627262341814429e-05 1.000000000000000e+00 NA -0.000000000000000e+00
119 1 4.674403493648436e-01 -1.057184755470786e-05 1.000000000000000e+00 NA -0.000000000000000e+00
120 1 4.796310366615330e-01 -9.205355942665250e-05 1.000000000000000e+00 NA -0.000000000000000e+00
121 1 4.771267133186160e-01 4.348003486853713e-05 1.000000000000000e+00 NA -0.000000000000000e+00
122 1 4.661885879519561e-01 1.647372629660637e-04 1.000000000000000e+00 NA -0.000000000000000e+00
123 1 4.643911695412447e-01 -3.972776844118897e-05 1.000000000000000e+00 NA -0.000000000000000e+00
124 1 4.729434728851357e-01 -8.984863892358419e-05 1.000000000000000e+00 NA -0.000000000000000e+00
125 1 4.710230654841230e-01 -3.236415035257068e-05 1.000000000000000e+00 NA -0.000000000000000e+00
126 1 4.764365535807886e-01 -3.771902819238449e-05 1.000000000000000e+00 NA -0.000000000000000e+00
127 1 4.776226003703803e-01 -3.356597933201755e-05 1.000000000000000e+00 NA -0.000000000000000e+00
128 1 4.787538031139838e-01 2.333359318118511e-05 1.000000000000000e+00 NA -0.000000000000000e+00
129 1 4.748632781637864e-01 2.264827041642548e-05 1.000000000000000e+00 NA -0.000000000000000e+00
130 1 4.785775821244743e-01 -3.983886008640525e-05 1.000000000000000e+00 NA -0.000000000000000e+00
131 1 4.781489846909767e-01 2.896337802305027e-05 1.000000000000000e+00 NA -0.000000000000000e+00
132 1 4.783232673716250e-01 -5.700282225085118e-05 1.000000000000000e+00 NA -0.000000000000000e+00
133 1 4.830704448426369e-01 -5.472332102574029e-05 1.000000000000000e+00 NA -0.000000000000000e+00
134 1 4.763125013315263e-01 5.482862400896238e-05 1.000000000000000e+00 NA -0.000000000000000e+00
