i getaccept E*A dH rho ddH Q
187 1 9.410099110523730e-01 4.452622406461160e-04 1.000000000000000e+00 NA -0.000000000000000e+00
188 1 9.436175257015338e-01 -7.830534614186035e-04 1.000000000000000e+00 NA -0.000000000000000e+00
189 1 9.440725367965386e-01 1.027335520120687e-05 1.000000000000000e+00 NA -0.000000000000000e+00
190 1 9.426730584645928e-01 3.130017657895223e-04 1.000000000000000e+00 NA -0.000000000000000e+00
191 1 9.435342274618723e-01 -3.220932881049521e-04 1.000000000000000e+00 NA -0.000000000000000e+00
192 1 9.451017004167854e-01 -6.884415934109711e-04 1.000000000000000e+00 NA -0.000000000000000e+00
193 1 9.429009930242593e-01 7.746689093437453e-04 1.000000000000000e+00 NA -0.000000000000000e+00
194 1 9.445785412498735e-01 -2.892441480071284e-04 1.000000000000000e+00 NA -0.000000000000000e+00
195 1 9.449384679147030e-01 1.627818164706696e-05 1.000000000000000e+00 NA -0.000000000000000e+00
196 1 9.441059702755329e-01 -2.821428051902330e-05 1.000000000000000e+00 NA -0.000000000000000e+00
197 1 9.435830867734791e-01 1.881445950857596e-04 1.000000000000000e+00 NA -0.000000000000000e+00
198 1 9.446345808760724e-01 -4.095347253496584e-04 1.000000000000000e+00 NA -0.000000000000000e+00
199 1 9.415856624631900e-01 7.784637268741790e-04 1.000000000000000e+00 NA -0.000000000000000e+00
200 1 9.420564580597987e-01 -2.695377138479671e-04 1.000000000000000e+00 NA -0.000000000000000e+00
201 1 9.425474088640635e-01 -1.347026668554463e-04 1.000000000000000e+00 NA -0.000000000000000e+00
202 1 9.434302634942703e-01 -1.731725387799088e-05 1.000000000000000e+00 NA -0.000000000000000e+00
203 1 9.436347694473676e-01 2.466906198606011e-04 1.000000000000000e+00 NA -0.000000000000000e+00
204 1 9.451481318877906e-01 -7.408681844935927e-04 1.000000000000000e+00 NA -0.000000000000000e+00
205 1 9.417025512765413e-01 1.112074884986214e-03 1.000000000000000e+00 NA -0.000000000000000e+00
206 1 9.420921831716159e-01 -4.974431876689778e-04 1.000000000000000e+00 NA -0.000000000000000e+00
207 1 9.424525649576954e-01 2.904133134506992e-05 1.000000000000000e+00 NA -0.000000000000000e+00
208 1 9.439856312406807e-01 -2.895331358558906e-04 1.000000000000000e+00 NA -0.000000000000000e+00
209 1 9.418961500731948e-01 9.022137569445476e-04 1.000000000000000e+00 NA -0.000000000000000e+00
210 1 9.437892820433968e-01 -8.460605540676625e-04 1.000000000000000e+00 NA -0.000000000000000e+00
211 1 9.438885557119169e-01 1.386363478559360e-04 1.000000000000000e+00 NA -0.000000000000000e+00
212 1 9.428824591608144e-01 6.176699207571801e-05 1.000000000000000e+00 NA -0.000000000000000e+00
213 1 9.444562516595499e-01 -5.793345394522476e-04 1.000000000000000e+00 NA -0.000000000000000e+00
214 1 9.426259055700907e-01 5.136566301189305e-04 1.000000000000000e+00 NA -0.000000000000000e+00
215 1 9.418639161001012e-01 2.794820029521361e-04 1.000000000000000e+00 NA -0.000000000000000e+00
216 1 9.433797744874095e-01 -4.009366098216560e-04 1.000000000000000e+00 NA -0.000000000000000e+00
217 1 9.441422103404454e-01 -4.163438270552433e-04 1.000000000000000e+00 NA -0.000000000000000e+00
218 1 9.419696092338029e-01 8.179463811757159e-04 1.000000000000000e+00 NA -0.000000000000000e+00
219 1 9.420509743927832e-01 3.952454844693420e-04 1.000000000000000e+00 NA -0.000000000000000e+00
220 1 9.427996229916873e-01 -5.491405740940536e-04 1.000000000000000e+00 NA -0.000000000000000e+00
i getaccept E*A dH rho ddH Q
200 1 9.319549632849518e-01 4.698620319686597e-03 4.975124378109453e-03 NA -0.000000000000000e+00
201 1 9.375564874128848e-01 -2.454776033573580e-03 9.900990099009901e-03 NA -0.000000000000000e+00
202 1 9.404720779707527e-01 -9.931783361025737e-04 1.477832512315271e-02 NA -0.000000000000000e+00
203 1 9.415833470154912e-01 -2.402855898253620e-04 1.960784313725490e-02 NA -0.000000000000000e+00
204 1 9.430770333290834e-01 -8.932323676162923e-04 2.439024390243903e-02 NA -0.000000000000000e+00
205 1 9.402391439844340e-01 9.541543727209501e-04 2.912621359223301e-02 NA -0.000000000000000e+00
206 1 9.408875635107881e-01 -5.983750816085376e-04 3.381642512077294e-02 NA -0.000000000000000e+00
207 1 9.416475087773306e-01 -1.254980747944501e-04 3.846153846153846e-02 NA -0.000000000000000e+00
208 1 9.433505232096835e-01 -3.979962734774745e-04 4.306220095693780e-02 NA -0.000000000000000e+00
